SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2024,M,24KEENOVHRA,1,1,2024-11-14,4039,4039,Tapit's Tale,Tapit's Tale,,,2020-01-01,4,GR/RO,C,,SRP,,,,Tapit,Tapit,Verve's Tale,Verve's Tale,,,,,,0,,,1901-01-01,"Hunter Valley Farm, Agent ",,,,Stripes Stable,,,,12000.0,,,,,T,2020,0.0,,Verve's Tale,Tapit,
2024,M,24KEENOVHRA,1,1,2024-11-14,4040,4040,Tea Tree Bay (GB),Tea Tree Bay (GB),,,2020-02-17,4,DB/BR,F,,BRP,,,,Tasleet (GB),Tasleet (GB),Kuriosa (IRE),Kuriosa (IRE),,,,,,0,,,1901-01-01,"Grovendale Sales, Agent V ",,,,Stripes Stable,,,,5000.0,,,,,T,2020,0.0,,Kuriosa (IRE),Tasleet (GB),
2024,M,24KEENOVHRA,1,1,2024-11-14,4041,4041,The Jackal,The Jackal,,,2020-03-18,4,B,C,,SRP,,,,Medaglia d'Oro,Medaglia d'Oro,Sweet Assassin,Sweet Assassin,,,,,,0,,,1901-01-01,"Lane's End, Agent ",,,,Clancy Bloodstock,,,,37000.0,,,,,T,2020,0.0,,Sweet Assassin,Medaglia d'Oro,
2024,M,24KEENOVHRA,1,1,2024-11-14,4042,4042,Tituba,Tituba,,,2020-03-02,4,B,F,,BRP,,,,Good Magic,Good Magic,Sabi Sands,Sabi Sands,,,,,,0,,,1901-01-01,"Paramount Sales, Agent for Three Diamonds Farm (Partial Racing Dispersal)",,,,Out,,,,0.0,,,,,T,2020,0.0,,Sabi Sands,Good Magic,
2024,M,24KEENOVHRA,1,1,2024-11-14,4043,4043,Tiz Wicked Strong,Tiz Wicked Strong,,,2020-01-31,4,DB/BR,G,,RP,,,,Wicked Strong,Wicked Strong,Tiz Kismet,Tiz Kismet,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Lindsay Schultz Racing Stable,,,,20000.0,,,,,T,2020,0.0,,Tiz Kismet,Wicked Strong,
2024,M,24KEENOVHRA,1,1,2024-11-14,4044,4044,Torpedo Run,Torpedo Run,,,2019-04-25,5,CH,G,,RP,,,,Gun Runner,Gun Runner,Stormy Tak,Stormy Tak,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2019,0.0,,Stormy Tak,Gun Runner,
2024,M,24KEENOVHRA,1,1,2024-11-14,4045,4045,Touchdown Rocket,Touchdown Rocket,,,2021-03-12,3,GR/RO,C,,SRP,,,,Arrogate,Arrogate,Sensitively,Sensitively,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,E.B.S. Sales,,,,70000.0,,,,,T,2021,0.0,,Sensitively,Arrogate,
2024,M,24KEENOVHRA,1,1,2024-11-14,4046,4046,Tough Street,Tough Street,,,2019-03-01,5,CH,M,,BRP,,,,Speightster,Speightster,La Condesa,La Condesa,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2019,0.0,,La Condesa,Speightster,
2024,M,24KEENOVHRA,1,1,2024-11-14,4047,4047,Trademark,Trademark,,,2019-02-06,5,B,G,,RP,,,,Upstart,Upstart,Creative Trick,Creative Trick,,,,,,0,,,1901-01-01,"Royal Oak Farm (Damian & Braxton Lynch), Agent for BBN Racing",,,,Out,,,,0.0,,,,,T,2019,0.0,,Creative Trick,Upstart,
2024,M,24KEENOVHRA,1,1,2024-11-14,4048,4048,Transactional (GB),Transactional (GB),,,2019-04-26,5,B    ,G,,RP,,,,Kingman (GB),Kingman (GB),Go White Lightning (IRE),Go White Lightning (IRE),,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Naukabena Farms LLC,,,,25000.0,,,,,T,2019,0.0,,Go White Lightning (IRE),Kingman (GB),
