Unnamed: 22,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,2023,M,23FTNYMIX,2023-10-17,1,1,207,207,No Horse,No Horse,,,2023-05-10,2023,0,CH,F,,W,,,NY,A SHIN FORWARD,A SHIN FORWARD,MIZSHIPMAN,MIZSHIPMAN,MIDSHIPMAN,MIDSHIPMAN,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT FOR VIVIEN G. MALLOY,,,,OUT,,,,0,,,,,T,0.0,,MIZSHIPMAN,A SHIN FORWARD,MIDSHIPMAN,
,2023,M,23FTNYMIX,2023-10-17,1,1,208,208,No Horse,No Horse,,,2023-02-26,2023,0,B,F,,W,,,NY,GALILEAN,GALILEAN,MME BELLE BREZING,MME BELLE BREZING,MR. GREELEY,MR. GREELEY,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,1000,,,,,T,0.0,,MME BELLE BREZING,GALILEAN,MR. GREELEY,
,2023,M,23FTNYMIX,2023-10-17,1,1,209,209,No Horse,No Horse,,,2023-05-01,2023,0,B,C,,W,,,NY,SOLOMINI,SOLOMINI,MO BOBBY,MO BOBBY,LAOBAN,LAOBAN,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT FOR LARRY BOTTING,,,,OUT,,,,0,,,,,T,0.0,,MO BOBBY,SOLOMINI,LAOBAN,
,2023,M,23FTNYMIX,2023-10-17,1,1,210,210,No Horse,No Horse,,,2023-04-12,2023,0,B,F,,W,,,NY,REDESDALE,REDESDALE,MOCA MOOSE,MOCA MOOSE,ELTISH,ELTISH,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,MOCA MOOSE,REDESDALE,ELTISH,
,2023,M,23FTNYMIX,2023-10-17,1,1,211,211,No Horse,No Horse,,,2023-04-23,2023,0,DKB,F,,W,,,NY,COMBATANT,COMBATANT,MONEYBACKGUARANTEE,MONEYBACKGUARANTEE,CENTRAL BANKER,CENTRAL BANKER,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,MONEYBACKGUARANTEE,COMBATANT,CENTRAL BANKER,
,2023,M,23FTNYMIX,2023-10-17,1,1,212,212,MONHEGAN,MONHEGAN,,,2015-02-03,2015,8,B,M,,B,,,KY,ENGLISH CHANNEL,ENGLISH CHANNEL,WISCASSET,WISCASSET,KRIS S.,KRIS S.,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,HARRY L LANDRY,,,,4000,,,,,T,0.0,,WISCASSET,ENGLISH CHANNEL,KRIS S.,
,2023,M,23FTNYMIX,2023-10-17,1,1,213,213,No Horse,No Horse,,,2023-01-25,2023,0,B,C,,W,,,NY,KNOWN AGENDA,KNOWN AGENDA,MOON UNIT ZAPPER,MOON UNIT ZAPPER,GHOSTZAPPER,GHOSTZAPPER,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT XXXI,,,,NOT SOLD,,,,11000,,,,,T,0.0,,MOON UNIT ZAPPER,KNOWN AGENDA,GHOSTZAPPER,
,2023,M,23FTNYMIX,2023-10-17,1,1,214,214,No Horse,No Horse,,,2023-03-05,2023,0,B,C,,W,,,NY,CENTRAL BANKER,CENTRAL BANKER,MORETHANVICTORIOUS,MORETHANVICTORIOUS,MORE THAN READY,MORE THAN READY,,,,0,,LEGACY BLOODSTOCK,1901-01-01,LEGACY BLOODSTOCK AGENT V,,,,OUT,,,,0,,,,,T,0.0,,MORETHANVICTORIOUS,CENTRAL BANKER,MORE THAN READY,
,2023,M,23FTNYMIX,2023-10-17,1,1,215,215,No Horse,No Horse,,,2023-02-27,2023,0,DKB,C,,W,,,NY,REDESDALE,REDESDALE,MY ALLURING LADY,MY ALLURING LADY,RUNHAPPY,RUNHAPPY,,,,0,,PAMELA ZIELINSKI,1901-01-01,DAMROCK FARM LLC AGENT FOR PAMELA ZIELINSKI,,,,KIMDON RACING LLC,,,,8000,,,,,T,0.0,,MY ALLURING LADY,REDESDALE,RUNHAPPY,
,2023,M,23FTNYMIX,2023-10-17,1,1,216,216,No Horse,No Horse,,,2023-03-01,2023,0,B,C,,W,,,NY,UNION RAGS,UNION RAGS,MY COUSIN MARTHA,MY COUSIN MARTHA,STAY THIRSTY,STAY THIRSTY,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT FOR ROCKRIDGE STUD & ASCENDANT FARMS,,,,BRONCO BLOODSTOCK,,,,30000,,,,,T,0.0,,MY COUSIN MARTHA,UNION RAGS,STAY THIRSTY,
