SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,Y,22KEESEPT,1,6,2022-09-18,1678,1678,Wild West Justice,Wild West Justice,,,1900-01-01,125,DB/BR,C,,Y,,,,Bolt d'Oro,Bolt d'Oro,Walk Off Winner,Walk Off Winner,,,,,,0,,,1901-01-01,"Burleson Farms, Agent ",,,,"Equinox Inc., Agent for George Sharp",,,,70000.0,,,,,T,2021,0.0,,Walk Off Winner,Bolt d'Oro,
2022,Y,22KEESEPT,1,6,2022-09-18,1679,1679,Scottish Storm,Scottish Storm,,,1900-01-01,125,B,C,,Y,,,,Mitole,Mitole,Warm Breeze,Warm Breeze,,,,,,0,,,1901-01-01,"Betz Thoroughbreds, Inc., Agent ",,,,Bushypark Stables,,,,60000.0,,,,,T,2021,0.0,,Warm Breeze,Mitole,
2022,Y,22KEESEPT,1,6,2022-09-18,1680,1680,Smokey Smokey,Smokey Smokey,,,1900-01-01,125,B,C,,Y,,,,Mendelssohn,Mendelssohn,Weaponry,Weaponry,,,,,,0,,,1901-01-01,"St George Sales, Agent XXIV ",,,,"Pura Vida 2022 / Deuce Greathouse, Agent",,,,120000.0,,,,,T,2021,0.0,,Weaponry,Mendelssohn,
2022,Y,22KEESEPT,1,6,2022-09-18,1681,1681,Risk It,Risk It,,,1900-01-01,125,CH,C,,Y,,,,Gun Runner,Gun Runner,Wedding Jitters,Wedding Jitters,,,,,,0,,,1901-01-01,"Hidden Brook, Agent V ",,,,Winchell Thoroughbreds & Three Chimneys,,,,500000.0,,,,,T,2021,0.0,,Wedding Jitters,Gun Runner,
2022,Y,22KEESEPT,1,6,2022-09-18,1682,1682,Mark Ur Way,Mark Ur Way,,,1900-01-01,125,B,C,,Y,,,,Union Rags,Union Rags,Weekend Away,Weekend Away,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LXIV ",,,,"R.N.A. (140,000)",,,,140000.0,,,,,T,2021,0.0,,Weekend Away,Union Rags,
2022,Y,22KEESEPT,1,6,2022-09-18,1683,1683,Save Us Melania,Save Us Melania,,,1900-01-01,125,DB/BR,F,,Y,,,,Constitution,Constitution,Wellington Beauty,Wellington Beauty,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LIII ",,,,Miacomet Bloodstock,,,,90000.0,,,,,T,2021,0.0,,Wellington Beauty,Constitution,
2022,Y,22KEESEPT,1,6,2022-09-18,1684,1684,Warrior's Head,Warrior's Head,,,1900-01-01,125,B,C,,Y,,,,Munnings,Munnings,Whats Yur Story,Whats Yur Story,,,,,,0,,,1901-01-01,"Paramount Sales, Agent LXXIII ",,,,"Chad Schumer, Agent",,,,110000.0,,,,,T,2021,0.0,,Whats Yur Story,Munnings,
2022,Y,22KEESEPT,1,6,2022-09-18,1685,1685,Cat Storm,Cat Storm,,,1900-01-01,125,DB/BR,C,,Y,,,,Classic Empire,Classic Empire,Wildcat Gold,Wildcat Gold,,,,,,0,,,1901-01-01,"Four Star Sales, Agent ",,,,"Garry Simms, Agent",,,,65000.0,,,,,T,2021,0.0,,Wildcat Gold,Classic Empire,
2022,Y,22KEESEPT,1,6,2022-09-18,1686,1686,Mentha,Mentha,,,1900-01-01,125,DB/BR,C,,Y,,,,American Pharoah,American Pharoah,Wild Mint,Wild Mint,,,,,,0,,,1901-01-01,KatieRich Farms ,,,,"Taproot, for Riley Mott",,,,230000.0,,,,,T,2021,0.0,,Wild Mint,American Pharoah,
2022,Y,22KEESEPT,1,6,2022-09-18,1687,1687,Consider Her Lucky,Consider Her Lucky,,,1900-01-01,125,B,F,,Y,,,,Union Rags,Union Rags,Winding Way,Winding Way,,,,,,0,,,1901-01-01,"Warrendale Sales, Agent for Stonestreet Bred & Raised ",,,,Dark Star Thoroughbreds,,,,70000.0,,,,,T,2021,0.0,,Winding Way,Union Rags,
2022,Y,22KEESEPT,1,6,2022-09-18,1688,1688,Tricky Temper,Tricky Temper,,,1900-01-01,125,B,F,,Y,,,,Into Mischief,Into Mischief,Winter Book,Winter Book,,,,,,0,,,1901-01-01,"Sequel New York, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Winter Book,Into Mischief,
2022,Y,22KEESEPT,1,6,2022-09-18,1689,1689,Without Cause,Without Cause,,,1900-01-01,125,B,F,,Y,,,,Omaha Beach,Omaha Beach,Withhold,Withhold,,,,,,0,,,1901-01-01,"Paramount Sales, Agent LXV ",,,,"Jeff Mackor, Agt for Ironhorse Racing Stable, LLC",,,,180000.0,,,,,T,2021,0.0,,Withhold,Omaha Beach,
2022,Y,22KEESEPT,1,6,2022-09-18,1690,1690,Umbral,Umbral,,,1900-01-01,125,B,F,,Y,,,,Ghostzapper,Ghostzapper,Zermatt,Zermatt,,,,,,0,,,1901-01-01,"Buckland Sales (Zach Madden), Agent XXII ",,,,"Antonio Sano, Agent",,,,42000.0,,,,,T,2021,0.0,,Zermatt,Ghostzapper,
2022,Y,22KEESEPT,1,6,2022-09-18,1691,1691,Zestin,Zestin,,,1900-01-01,125,B    ,C,,Y,,,,Catholic Boy,Catholic Boy,Zestina,Zestina,,,,,,0,,,1901-01-01,"Paramount Sales, Agent VI ",,,,"R.N.A. (75,000)",,,,75000.0,,,,,T,2021,0.0,,Zestina,Catholic Boy,
2022,Y,22KEESEPT,1,6,2022-09-18,1692,1692,Soundbite,Soundbite,,,1900-01-01,125,B,F,,Y,,,,Audible,Audible,Abtasaamah,Abtasaamah,,,,,,0,,,1901-01-01,"Warrendale Sales, Agent XXIII ",,,,Adore Racing,,,,120000.0,,,,,T,2021,0.0,,Abtasaamah,Audible,
2022,Y,22KEESEPT,1,6,2022-09-18,1693,1693,Heart,Heart,,,1900-01-01,125,B,F,,Y,,,,Bolt d'Oro,Bolt d'Oro,Adore,Adore,,,,,,0,,,1901-01-01,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,,,"R.N.A. (70,000)",,,,70000.0,,,,,T,2021,0.0,,Adore,Bolt d'Oro,
2022,Y,22KEESEPT,1,6,2022-09-18,1694,1694,Brit Blitz,Brit Blitz,,,1900-01-01,125,B    ,C,,Y,,,,English Channel,English Channel,Adventure,Adventure,,,,,,0,,,1901-01-01,"Bluegrass Thoroughbred Services Inc., Agent I ",,,,"Lothenbach Stables, Inc.",,,,140000.0,,,,,T,2021,0.0,,Adventure,English Channel,
2022,Y,22KEESEPT,1,6,2022-09-18,1695,1695,Candy Oak,Candy Oak,,,1900-01-01,125,B,F,,Y,,,,Twirling Candy,Twirling Candy,Ain't She Sweet,Ain't She Sweet,,,,,,0,,,1901-01-01,"Buckland Sales (Zach Madden), Agent XVIII ",,,,"Garry Simms, Agent",,,,120000.0,,,,,T,2021,0.0,,Ain't She Sweet,Twirling Candy,
2022,Y,22KEESEPT,1,6,2022-09-18,1696,1696,Gold Cup,Gold Cup,,,1900-01-01,125,B,F,,Y,,,,Nyquist,Nyquist,All Due Respect,All Due Respect,,,,,,0,,,1901-01-01,"Lisa and Tim Turney, Agent IV ",,,,Out,,,,0.0,,,,,T,2021,0.0,,All Due Respect,Nyquist,
2022,Y,22KEESEPT,1,6,2022-09-18,1697,1697,Account Receivable,Account Receivable,,,1900-01-01,125,CH,F,,Y,,,,Collected,Collected,All Talk,All Talk,,,,,,0,,,1901-01-01,"Shawhan Place LLC, Agent I ",,,,"Esposito Racing Stable / Greg Martin, Agent",,,,90000.0,,,,,T,2021,0.0,,All Talk,Collected,
2022,Y,22KEESEPT,1,6,2022-09-18,1698,1698,Gaassid,Gaassid,,,1900-01-01,125,B,C,,Y,,,,Mendelssohn,Mendelssohn,All too Many,All too Many,,,,,,0,,,1901-01-01,"Buckland Sales (Zach Madden), Agent IX ",,,,Jebel Ali Stables,,,,160000.0,,,,,T,2021,0.0,,All too Many,Mendelssohn,
2022,Y,22KEESEPT,1,6,2022-09-18,1699,1699,Easy to Be Hard,Easy to Be Hard,,,1900-01-01,125,B    ,C,,Y,,,,Hard Spun,Hard Spun,Allwewantforxmas,Allwewantforxmas,,,,,,0,,,1901-01-01,"Betz Thoroughbreds, Inc., Agent ",,,,"R.N.A. (140,000)",,,,140000.0,,,,,T,2021,0.0,,Allwewantforxmas,Hard Spun,
2022,Y,22KEESEPT,1,6,2022-09-18,1700,1700,Shamrock Shake,Shamrock Shake,,,1900-01-01,125,B    ,C,,Y,,,,Lookin At Lucky,Lookin At Lucky,American Sugar,American Sugar,,,,,,0,,,1901-01-01,"Wynnstay Sales, Agent I ",,,,SLOJAG Racing,,,,80000.0,,,,,T,2021,0.0,,American Sugar,Lookin At Lucky,
2022,Y,22KEESEPT,1,6,2022-09-18,1701,1701,Castille,Castille,,,1900-01-01,125,B,C,,Y,,,,Maximus Mischief,Maximus Mischief,Andapinkcarnation,Andapinkcarnation,,,,,,0,,,1901-01-01,"Wynnstay Sales, Agent II ",,,,Corinne & Bill Heiligbrodt,,,,175000.0,,,,,T,2021,0.0,,Andapinkcarnation,Maximus Mischief,
2022,Y,22KEESEPT,1,6,2022-09-18,1702,1702,Velvet Cactus,Velvet Cactus,,,1900-01-01,125,DB/BR,C,,Y,,,,Union Rags,Union Rags,And She's Gone,And She's Gone,,,,,,0,,,1901-01-01,"Royal Oak Farm (Damian & Braxton Lynch), Agent ",,,,Bushypark Stables,,,,30000.0,,,,,T,2021,0.0,,And She's Gone,Union Rags,
