SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,M,22KEEJAN,1,1,2022-01-10,60,60,The Wine Steward,The Wine Steward,,,2021-02-16,4,B,C,,Y,,,,Vino Rosso,Vino Rosso,Call to Service,Call to Service,,,,,,0,,,1901-01-01,"Sequel New York, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Call to Service,Vino Rosso,
2022,M,22KEEJAN,1,1,2022-01-10,61,61,Paynt,Paynt,,,2021-03-10,3,B,C,,Y,,,,Paynter,Paynter,Canadian Sunset,Canadian Sunset,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent IX ",,,,Highlander Training Center,,,,25000.0,,,,,T,2021,0.0,,Canadian Sunset,Paynter,
2022,M,22KEEJAN,1,1,2022-01-10,62,62,Dactilografa,Dactilografa,,,2021-03-22,3,GR/RO,F,,Y,,,,Tapwrit,Tapwrit,Candy d'Oro,Candy d'Oro,,,,,,0,,,1901-01-01,"Taylor Made Sales Agency, Agent LVIII ",,,,"Machmer Hall, Agent for Tollgate Farm",,,,6500.0,,,,,T,2021,0.0,,Candy d'Oro,Tapwrit,
2022,M,22KEEJAN,1,1,2022-01-10,63,63,Candy Flower,Candy Flower,,,2017-03-22,7,B,M,,BRP,,,,Twirling Candy,Twirling Candy,Zucchini Flower,Zucchini Flower,,,,,,0,,,1901-01-01,"Bluewater Sales LLC, Agent XI ",,,,Gentry Stable / Robert Chasanoff,,,,180000.0,,,,,T,2017,0.0,,Zucchini Flower,Twirling Candy,
2022,M,22KEEJAN,1,1,2022-01-10,64,64,True Myth,True Myth,,,2021-03-28,3,DB/BR,F,,Y,,,,Mendelssohn,Mendelssohn,Can't Explain,Can't Explain,,,,,,0,,,1901-01-01,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,,,Cedar Rock Ranch,,,,70000.0,,,,,T,2021,0.0,,Can't Explain,Mendelssohn,
2022,M,22KEEJAN,1,1,2022-01-10,65,65,Guanare,Guanare,,,2021-04-18,3,B,C,,Y,,,,Runhappy,Runhappy,Cast in Silver,Cast in Silver,,,,,,0,,,1901-01-01,"Denali Stud, Agent XXIII ",,,,Tim Wickes,,,,29000.0,,,,,T,2021,0.0,,Cast in Silver,Runhappy,
2022,M,22KEEJAN,1,1,2022-01-10,66,66,San Siro,San Siro,,,2021-03-06,3,B,C,,Y,,,,Classic Empire,Classic Empire,Catenaria,Catenaria,,,,,,0,,,1901-01-01,"Frankfort Park Farm, Agent ",,,,Bolter Bloodstock,,,,80000.0,,,,,T,2021,0.0,,Catenaria,Classic Empire,
2022,M,22KEEJAN,1,1,2022-01-10,67,67,Catenaria,Catenaria,,,2014-01-29,11,DB/BR,M,,B,,,,Bernardini,Bernardini,Arch Support,Arch Support,,,,,,0,,Complexity,2021-04-11,"Frankfort Park Farm, Agent ",,,,Cary Bloodstock for No Parole,,,,80000.0,,,,,T,2014,0.0,pregnant,Arch Support,Bernardini,
2022,M,22KEEJAN,1,1,2022-01-10,68,68,Catrageous,Catrageous,,,2010-02-13,15,DB/BR,M,,B,,,,Tale of the Cat,Tale of the Cat,Frozen Treat,Frozen Treat,,,,,,0,,Vino Rosso,2021-04-17,"Vinery Sales, Agent for Spendthrift Farm LLC ",,,,"International Equities Holding, Inc.",,,,45000.0,,,,,T,2010,0.0,pregnant,Frozen Treat,Tale of the Cat,
2022,M,22KEEJAN,1,1,2022-01-10,69,69,In the Weeds,In the Weeds,,,2021-04-30,3,B,C,,Y,,,,Preservationist,Preservationist,Catsadiva,Catsadiva,,,,,,0,,,1901-01-01,"Frankfort Park Farm, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Catsadiva,Preservationist,
